year,month,date,action,resourceType,resource
2025,November,2025-11-14 23:30:22-05:00,Add,IP,216.203.29.0-216.203.29.255
2025,November,2025-11-14 23:30:22-05:00,Add,IP,216.245.180.0-216.245.180.255
2025,November,2025-11-14 23:30:22-05:00,Add,IP,216.245.185.0-216.245.185.255
2025,November,2025-11-14 23:30:22-05:00,Add,ASN,AS53558
2025,November,2025-11-14 23:30:22-05:00,Add,ASN,AS394182
2025,November,2025-11-14 23:30:22-05:00,Add,ASN,AS394188
2025,November,2025-11-14 23:30:22-05:00,Add,ASN,AS394208
2025,November,2025-11-14 23:30:22-05:00,Add,ASN,AS394317
2025,November,2025-11-17 23:30:21-05:00,Add,IP,2602:F4C5::-2602:F4C5:FFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-17 23:30:21-05:00,Add,IP,2620:DF:E000::-2620:DF:E000:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-17 23:30:21-05:00,Add,IP,2631:9000::-2631:90FF:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-17 23:30:21-05:00,Add,IP,23.149.196.0-23.149.196.255
2025,November,2025-11-17 23:30:21-05:00,Add,IP,23.149.204.0-23.149.204.255
2025,November,2025-11-17 23:30:21-05:00,Add,IP,192.80.211.0-192.80.211.255
2025,November,2025-11-17 23:30:21-05:00,Add,ASN,AS394335
2025,November,2025-11-17 23:30:21-05:00,Add,ASN,AS394368
2025,November,2025-11-17 23:30:21-05:00,Add,ASN,AS394390
2025,November,2025-11-18 23:30:23-05:00,Remove,IP,198.135.168.0-198.135.168.255
2025,November,2025-11-18 23:30:23-05:00,Add,IP,2602:F4C2::-2602:F4C2:FFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-18 23:30:23-05:00,Add,IP,2602:F4C3::-2602:F4C3:FF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-18 23:30:23-05:00,Add,IP,2602:F4C4::-2602:F4C4:FF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-18 23:30:23-05:00,Add,IP,2604:2920::-2604:2920:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-18 23:30:23-05:00,Add,IP,2604:2960::-2604:2960:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-18 23:30:23-05:00,Add,IP,2604:29A0::-2604:29A0:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-18 23:30:23-05:00,Add,IP,2604:29E0::-2604:29E0:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-18 23:30:23-05:00,Add,IP,23.149.212.0-23.149.212.255
2025,November,2025-11-18 23:30:23-05:00,Add,IP,23.149.220.0-23.149.220.255
2025,November,2025-11-18 23:30:23-05:00,Add,IP,23.149.228.0-23.149.228.255
2025,November,2025-11-18 23:30:23-05:00,Add,IP,192.70.178.0-192.70.178.255
2025,November,2025-11-18 23:30:23-05:00,Add,IP,192.84.120.0-192.84.120.255
2025,November,2025-11-18 23:30:23-05:00,Add,IP,192.94.214.0-192.94.214.255
2025,November,2025-11-18 23:30:23-05:00,Add,IP,198.51.22.0-198.51.22.255
2025,November,2025-11-18 23:30:23-05:00,Add,IP,198.135.168.0-198.135.168.255
2025,November,2025-11-18 23:30:23-05:00,Add,IP,198.180.230.0-198.180.230.255
2025,November,2025-11-18 23:30:23-05:00,Add,ASN,AS394407
2025,November,2025-11-18 23:30:23-05:00,Add,ASN,AS394412
2025,November,2025-11-18 23:30:23-05:00,Add,ASN,AS394457
2025,November,2025-11-18 23:30:23-05:00,Add,ASN,AS394503
2025,November,2025-11-18 23:30:23-05:00,Add,ASN,AS394711
2025,November,2025-11-18 23:30:23-05:00,Add,ASN,AS395222
2025,November,2025-11-18 23:30:23-05:00,Add,ASN,AS395276
2025,November,2025-11-19 23:30:22-05:00,Remove,IP,130.12.4.0-130.12.7.255
2025,November,2025-11-19 23:30:22-05:00,Remove,IP,130.12.76.0-130.12.79.255
2025,November,2025-11-19 23:30:22-05:00,Remove,IP,130.12.96.0-130.12.99.255
